# anchorsX, anchorsY
9.651522000000004482e+03,1.261409601094989341e-01
9.652410000000010768e+03,1.263877637976358048e-01
9.652632000000012340e+03,1.263877637976358048e-01
9.653298000000015236e+03,1.230362512333591229e-01
9.653594000000019150e+03,1.229466991887740307e-01
9.654186000000023341e+03,1.222528252187361497e-01
9.655222000000030675e+03,1.230895553639754225e-01
9.656184000000035667e+03,1.272588271409679783e-01
9.656850000000042201e+03,1.278048443163319337e-01
9.657590000000047439e+03,1.286766644791187131e-01
9.657812000000047192e+03,1.286766644791187131e-01
9.658774000000055821e+03,1.270078673249464551e-01
9.659514000000059241e+03,1.275548702437046267e-01
9.660254000000066299e+03,1.281704279024825088e-01
9.660994000000071537e+03,1.281950541950969136e-01
9.661438000000076499e+03,1.278079848981333311e-01
9.662326000000079148e+03,1.261207771222987994e-01
9.663362000000088301e+03,1.279421839095224445e-01
9.663658000000090396e+03,1.274733529631886519e-01
9.664842000000100597e+03,1.249360492135516976e-01
9.665878000000106113e+03,1.249928401843627968e-01
9.666322000000109256e+03,1.244196881135607446e-01
9.666544000000110827e+03,1.244196881135607446e-01
9.667432000000115295e+03,1.240520690546678129e-01
9.668320000000123400e+03,1.243314140105982457e-01
9.668690000000126020e+03,1.250947483718903575e-01
9.669430000000131258e+03,1.238316102568611798e-01
9.670318000000137545e+03,1.256552291538434174e-01
9.670984000000142260e+03,1.256632330250625484e-01
9.671798000000148022e+03,1.264186771517751273e-01
9.672760000000156651e+03,1.224836580398872832e-01
9.674092000000164262e+03,1.235664754738888815e-01
9.675128000000171596e+03,1.267521725755191564e-01
9.677052000000183398e+03,1.227078699281083929e-01
9.679716000000204076e+03,1.227669480320967565e-01
9.680604000000210362e+03,1.260951286676986471e-01
9.681270000000216896e+03,1.248745164609951636e-01
9.682972000000227126e+03,1.273459818809609678e-01
9.684008000000234460e+03,1.276902297622385385e-01
9.684230000000236032e+03,1.276902297622385385e-01
9.685118000000242318e+03,1.251900603383290789e-01
9.685858000000247557e+03,1.257216304610777324e-01
9.686820000000254367e+03,1.279495931238824602e-01
9.687486000000260901e+03,1.275399639267757457e-01
9.688152000000263797e+03,1.272595780250383446e-01
9.688892000000267217e+03,1.256396330178193299e-01
9.690520000000280561e+03,1.258888004956604245e-01
9.692370000000293658e+03,1.254946656271537231e-01
9.692962000000297849e+03,1.263028076519339682e-01
9.694368000000307802e+03,1.279314627985589925e-01
9.694590000000309374e+03,1.279314627985589925e-01
9.695700000000315413e+03,1.272183904515067909e-01
9.697476000000329805e+03,1.291296459286987997e-01
9.698068000000333996e+03,1.267105333064145190e-01
9.698882000000339758e+03,1.259684643212880262e-01
9.699474000000343949e+03,1.270356458270288091e-01
9.700288000000349712e+03,1.258589018784604940e-01
9.701250000000356522e+03,1.265633086263367457e-01
9.702878000000368047e+03,1.256820090629650055e-01
9.703396000000371714e+03,1.268229575605033244e-01
9.703692000000373810e+03,1.269331813543727594e-01
9.703988000000375905e+03,1.262837235023731575e-01
9.705098000000383763e+03,1.244293083535153305e-01
9.706208000000391621e+03,1.240384207464809430e-01
9.706874000000396336e+03,1.244709369536953492e-01
9.707540000000399232e+03,1.229747517862258555e-01
9.709834000000415472e+03,1.232098877724041724e-01
9.710278000000420434e+03,1.243866280603404262e-01
9.710426000000419663e+03,1.244026494806635963e-01
9.711832000000431435e+03,1.266201290128185775e-01
9.712942000000439293e+03,1.271569422570625885e-01
9.713830000000445580e+03,1.266934061617653873e-01
9.715014000000453962e+03,1.283043388481757141e-01
9.715532000000457629e+03,1.275051924792336422e-01
9.716568000000463144e+03,1.263053394303885468e-01
9.717826000000473869e+03,1.241620038895356604e-01
9.719084000000484593e+03,1.245158421912800073e-01
9.720194000000490632e+03,1.251219439001461375e-01
9.720564000000491433e+03,1.249404057681760549e-01
9.720860000000495347e+03,1.243451904547089593e-01
9.722784000000507149e+03,1.237350114775470217e-01
9.723894000000516826e+03,1.230692573792488559e-01
9.725004000000524684e+03,1.239258788561324875e-01
9.726928000000538304e+03,1.225837408338885381e-01
9.727594000000544838e+03,1.237454055366657146e-01
9.728260000000547734e+03,1.239563774205378610e-01
9.729666000000557688e+03,1.218299944998141177e-01
9.732182000000575499e+03,1.213526234305262741e-01
9.732552000000578118e+03,1.214712956151013934e-01
9.733366000000583881e+03,1.227054014212045352e-01
9.734254000000590167e+03,1.219712132180103825e-01
9.735438000000600368e+03,1.227815201585928662e-01
9.736770000000607979e+03,1.217528520661042696e-01
9.737658000000614265e+03,1.217994169702652785e-01
9.739212000000623448e+03,1.226104581583261632e-01
9.741876000000644126e+03,1.224647704118339286e-01
9.743356000000656422e+03,1.223518962719785941e-01
9.744318000000659595e+03,1.226867457536895273e-01
9.744762000000664557e+03,1.225681346158190577e-01
9.747278000000682368e+03,1.211822458709404804e-01
9.748166000000688655e+03,1.231820489785498407e-01
9.749128000000695465e+03,1.206959787472817736e-01
9.750016000000701752e+03,1.208592021468252176e-01
9.751126000000709610e+03,1.232324260454610992e-01
9.751718000000713801e+03,1.238221108707036472e-01
9.753198000000724278e+03,1.237605459722647266e-01
9.753568000000728716e+03,1.242961365172269295e-01
9.753716000000727945e+03,1.242961365172269295e-01
9.754752000000735279e+03,1.239128046286349372e-01
9.756306000000746280e+03,1.216133278215618119e-01
9.757786000000756758e+03,1.237900313070415120e-01
9.758896000000764616e+03,1.235174972273301031e-01
9.759932000000771950e+03,1.227770039214066133e-01
9.761708000000784523e+03,1.240943446299615921e-01
9.762522000000790285e+03,1.236413647898506746e-01
9.762744000000791857e+03,1.236413647898506746e-01
9.764002000000800763e+03,1.225298489250117029e-01
9.764224000000802334e+03,1.225298489250117029e-01
9.764964000000807573e+03,1.212508985160140607e-01
9.765630000000812288e+03,1.207259958322295101e-01
9.767110000000824584e+03,1.213849363582331087e-01
9.767850000000828004e+03,1.237928006260444747e-01
9.769108000000835091e+03,1.252311500972251024e-01
9.769700000000839282e+03,1.257272338510476151e-01
9.770514000000848682e+03,1.221698809471246233e-01
9.771920000000856817e+03,1.225407238705366053e-01
9.774214000000871238e+03,1.237920213343316755e-01
9.774510000000875152e+03,1.239451918431503374e-01
9.776434000000888773e+03,1.241750563614931746e-01
9.776730000000890868e+03,1.240052825135707221e-01
9.777470000000896107e+03,1.241777235604760860e-01
9.778358000000902393e+03,1.222856031368129426e-01
9.778654000000904489e+03,1.223863637865406084e-01
9.779394000000909728e+03,1.219840251064214787e-01
9.780060000000914442e+03,1.221826226886889855e-01
9.780874000000920205e+03,1.221879623169269957e-01
9.781022000000919434e+03,1.221879623169269957e-01
9.781762000000926491e+03,1.222670559857570172e-01
9.782132000000929111e+03,1.223641835306222558e-01
9.782946000000936692e+03,1.240603184306293405e-01
9.784278000000944303e+03,1.233833980768508642e-01
9.785018000000949542e+03,1.214436463369462371e-01
9.787016000000963686e+03,1.187464735662743381e-01
9.787682000000968401e+03,1.265175114468697903e-01
9.787904000000969972e+03,1.265175114468697903e-01
9.788644000000975211e+03,1.230695720675537286e-01
9.789606000000982021e+03,1.204805429930293770e-01
9.791382000000996413e+03,1.210536512445830604e-01
9.791752000000995395e+03,1.210208077178842045e-01
9.793010000001006119e+03,1.220041351973034788e-01
9.793898000001012406e+03,1.253341990411308005e-01
9.794712000001018168e+03,1.228048946030290411e-01
9.795452000001023407e+03,1.211010771458633783e-01
9.796932000001033884e+03,1.224951882749271137e-01
9.798338000001043838e+03,1.236045056374332068e-01
9.798634000001045933e+03,1.237400132748878168e-01
9.799670000001051449e+03,1.254165812011928394e-01
9.799892000001056658e+03,1.254165812011928394e-01
9.800780000001059307e+03,1.237044563194076019e-01
9.801372000001063498e+03,1.241514816760898310e-01
9.802260000001071603e+03,1.248738867633118754e-01
9.804036000001084176e+03,1.229410898720586232e-01
9.805886000001095454e+03,1.244079141169630587e-01
9.807070000001105655e+03,1.241563756368137539e-01
9.808624000001116656e+03,1.226339939477881780e-01
9.809290000001119552e+03,1.217795537953867413e-01
9.811584000001137611e+03,1.238842641600120809e-01
9.812694000001143650e+03,1.260065140011540907e-01
9.814544000001160384e+03,1.245386518682997656e-01
9.815876000001167995e+03,1.245759943473353226e-01
9.817504000001179520e+03,1.259157322154288439e-01
9.818540000001188673e+03,1.237483326699898301e-01
9.820168000001198379e+03,1.257264143148937585e-01
9.820464000001200475e+03,1.256103327671596603e-01
9.822166000001212524e+03,1.267635856478198375e-01
9.823646000001224820e+03,1.309265277600246136e-01
9.824608000001229811e+03,1.312875185970392988e-01
